HEADWORD;DEFINITION;PART OF SPEECH;SEMANTIC GROUP;FREQUENCY RANK
τοσοῦτος –αύτη –οῦτο(ν);آن‌قدر، چنان (نمونه از حافظ: سلیمان با چنان حشمت نظرها بود با مورش );صفت (صرف اول و دوم);سنجش و شمارش;176
σύν;با (+برایی);حرف اضافه;حرف اضافه بدون جهت;177
εἶτα;سپس;قید;حرف ربط/ قید;178
ἀληθής –ές;صادق، راستین;صفت (مختوم به ης و ες);اخلاق و ارزش‌ها;179
δίκαιος δικαία δίκαιον;مساوی، برابر، منصفانه;صفت (صرف اول و دوم);عدل و داد;180
μέλλω, μελλήσω, ἐμέλλησα;بر آن شدن، قصد کردن (+اسم مصدر);فعل (مختوم به صامت روان);ادراکات و احساسات;181
ἐθέλω, ἐθελήσω, ἠθέλησα, ἠθέληκα;خواستن، آرزو داشتن (+اسم مصدر);فعل (مختوم به صامت روان);ادراکات و احساسات;182
λοιπός –ή –όν;باقی، مانده;صفت (صرف اول و دوم);سنجش و شمارش;183
ἀνάγκη ἀνάγκης, ἡ;الزام، اجبار;اسم (صرف اول);نظم جهانی;184
ὅτε;وقتی، زمانی که;حرف ربط وابسته‌ساز;زمان;185
δεύτερος –α –ον;دوم;صفت (شمارشی);سنجش و شمارش;186
πόλεμος πολέμου ὁ;جنگ ;اسم (صرف دوم);جنگ و صلح;187
χώρα χώρας, ἡ;سرزمین، دیار، کشور;اسم (صرف اول);زمین;188
ζάω, ζήσω, ἔζησα, ἔζηκα;زندگی کردن، زنده بودن;فعل (ادغام شده);مرگ و زندگی;189
πλῆθος πλήθους, τό;کثرت، بزرگی، جمعیت;اسم (صرف سوم مختوم به σ);جامعه و حکومت;190
ἥλιος ἡλίου, ὁ;خورشید;اسم (صرف دوم);نظم جهانی;191
αἰτία αἰτίας, ἡ;تقصیر، سبب، اتهام;اسم (صرف اول);عدل و داد;192
πείθω, πείσω, ἔπεισα, πέποιθα, πέπεισμαι, ἐπείσθην;تشویق کردن، غلبه کردن. مجهول و میانی: مغلوب شدن، پیروی کردن، باور داشتن (+برایی);فعل (مختوم به صامت دندانی);گفتن و نوشتن;193
πάρειμι;آماده بودن، حضور داشتن، حاضر بودن τὰ παρόντα: در حال حاضر;فعل (بی‌قاعده);انسان و هستی;194
πλεῖστος πλείστη πλεῖστον;بیشترین، زیادترین، بزرگترین (صفت عالی πολύς);صفت (صرف اول و دوم);سنجش و شمارش;195
εἶδος εἴδους, τό;صورت، شکل، دسته، گونه;اسم (صرف سوم مختوم به σ);سنجش و شمارش;196
ὅπως;چنان، تا اینکه، به نحوی که (+التزامی یا تمنایی);حرف ربط وابسته‌ساز;حرف ربط/ قید;197
τρεῖς τρία;سه;صفت (شمارشی);سنجش و شمارش;198
βίος βίου, ὁ;زندگی;اسم (صرف دوم);مرگ و زندگی;199
νομίζω, νομιῶ, ἐνόμισα, νενόμικα, νενόμισμαι, ἐνομίσθην;اندیشیدن، باور داشتن، مرسوم بودن، عادت داشتن (+ اسم مصدر);فعل (مختوم به صامت دندانی);ذهن، دریافت، و یادگیری;200
κύκλος κύκλου, ὁ;دایره، قرص، گردی، حلقه، چرخش;اسم (صرف دوم);سنجش و شمارش;201
πάθος πάθους, τό;حادثه، مصیبت، شور، اشتیاق، وضعیت;اسم (صرف سوم مختوم به σ);ادراکات و احساسات;202
πρό;پیش، قبل، مقابل (+اضافی);حرف اضافه;زمان;203
μέντοι;هر چند، با این حال;قید;ادات;204
